OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025DJ,2026-08-16T14:55:10.898688,14.46435066,.02317256,98.9643,108.1421,160.5788,266.1252,0,U,29816,999,1753,.33174326E-3,.1606E-4,0
FENGYUN 1C DEB,1999-025DK,2026-08-16T13:12:50.609664,14.14554174,.00129593,98.5769,212.7773,30.7817,90.8868,0,U,29817,999,882,.1517012E-3,.249E-5,0
FENGYUN 1C DEB,1999-025DL,2026-08-16T14:32:13.485696,14.04658385,.0115518,98.6882,100.9057,52.2398,1.5188,0,U,29818,999,270,.90880265E-4,.113E-5,0
FENGYUN 1C DEB,1999-025DM,2026-08-16T21:40:13.068192,14.02434129,.01918397,98.7559,207.9275,95.4428,296.0423,0,U,29819,999,85,.35358672E-4,.24E-6,0
FENGYUN 1C DEB,1999-025DN,2026-08-16T13:23:25.010304,14.02951349,.00707971,98.8321,233.2556,269.5708,209.4441,0,U,29820,999,16,.15465289E-3,.202E-5,0
FENGYUN 1C DEB,1999-025DP,2026-08-16T16:52:32.783808,14.12090728,.03727098,98.8432,286.1661,140.0416,346.1826,0,U,29821,999,99995,.3967433E-3,.1357E-4,0
FENGYUN 1C DEB,1999-025DV,2026-08-16T11:43:53.591808,14.22010112,.00248398,98.6191,218.8349,328.1072,184.9888,0,U,29827,999,1359,.14288782E-3,.273E-5,0
FENGYUN 1C DEB,1999-025DW,2026-08-16T21:44:17.930976,14.08743377,.00617916,98.7490,272.2441,177.5006,358.3925,0,U,29828,999,209,.18586939E-3,.283E-5,0
FENGYUN 1C DEB,1999-025EA,2026-08-16T18:35:51.379008,14.57003798,.01909673,98.8456,359.9775,249.5508,108.5094,0,U,29832,999,3852,.66678868E-4,.317E-5,0
FENGYUN 1C DEB,1999-025EB,2026-08-16T00:31:31.601856,14.96602009,.00811474,99.0785,253.6297,185.2184,174.8197,0,U,29833,999,4249,.48010807E-3,.5766E-4,0
FENGYUN 1C DEB,1999-025ED,2026-08-16T21:38:00.827808,14.43559034,.0167288,99.0614,17.5923,24.3874,125.6569,0,U,29835,999,3058,.3266252E-4,.73E-6,0
FENGYUN 1C DEB,1999-025EE,2026-08-16T05:39:33.592608,14.55101970,.01530912,98.1877,324.1038,159.5689,230.5239,0,U,29836,999,67139,.26720923E-3,.1298E-4,0
FENGYUN 1C DEB,1999-025EK,2026-08-16T11:17:34.223136,14.47217993,.01979201,98.8469,191.4030,313.2227,172.6924,0,U,29841,999,2888,.16000487E-3,.685E-5,0
FENGYUN 1C DEB,1999-025EL,2026-08-16T18:39:07.805088,14.62798876,.01053863,98.5661,330.1340,120.8439,29.9463,0,U,29842,999,2956,.6142416E-3,.334E-4,0
FENGYUN 1C DEB,1999-025EM,2026-08-16T19:50:48.859296,14.28928789,.01908396,99.0187,81.0070,295.0881,76.8434,0,U,29843,999,1800,.14051719E-3,.377E-5,0
FENGYUN 1C DEB,1999-025EN,2026-08-16T16:27:14.662368,14.32666009,.01665895,98.9227,142.5067,165.4352,195.1717,0,U,29844,999,1877,.16300212E-3,.466E-5,0
FENGYUN 1C DEB,1999-025EP,2026-08-16T00:10:09.826752,14.26965694,.00778479,98.5285,227.0669,129.4683,296.8235,0,U,29845,999,1620,.15689094E-3,.352E-5,0
FENGYUN 1C DEB,1999-025EQ,2026-08-16T16:41:41.241408,14.19227070,.00836998,98.6239,269.3311,312.4219,165.5551,0,U,29846,999,1360,.6073614E-4,.88E-6,0
FENGYUN 1C DEB,1999-025ER,2026-08-16T13:12:13.375584,14.03158823,.00860291,98.9152,224.3150,71.1882,49.8382,0,U,29847,999,197,-.61067201E-4,-.141E-5,0
FENGYUN 1C DEB,1999-025ES,2026-08-16T14:29:03.304608,14.21726558,.01142203,98.2298,83.8406,293.1850,140.5582,0,U,29848,999,608,.51668411E-3,.1173E-4,0
FENGYUN 1C DEB,1999-025ET,2026-08-16T12:01:05.257056,14.05681004,.00816505,99.0030,316.1810,77.1808,349.3222,0,U,29849,999,99836,.40528685E-3,.637E-5,0
FENGYUN 1C DEB,1999-025EU,2026-08-16T16:16:35.656608,14.00664926,.01058929,98.1170,132.9209,307.5652,76.9473,0,U,29850,999,99476,.53611607E-3,.8E-5,0
