OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036DU,2026-08-16T11:29:47.276160,14.35676508,.01068201,74.0431,301.6530,332.8270,39.4162,0,U,33915,999,91298,.15896454E-3,.462E-5,0
COSMOS 2251 DEB,1993-036DV,2026-08-16T19:16:44.103936,13.68806213,.03235423,74.0534,354.5785,111.5801,38.5877,0,U,33916,999,87271,.126525E-3,.138E-5,0
COSMOS 2251 DEB,1993-036DW,2026-08-15T23:54:09.433728,13.69949675,.03334455,74.1039,78.3681,121.0883,242.3411,0,U,33917,999,87105,.57676937E-3,.73E-5,0
COSMOS 2251 DEB,1993-036DZ,2026-08-16T06:41:30.520608,14.61538869,.00316018,74.0590,188.5133,140.3148,220.0340,0,U,33920,999,91713,.68241481E-3,.3383E-4,0
COSMOS 2251 DEB,1993-036EB,2026-08-16T22:09:03.516768,14.50191579,.00220752,74.0461,43.9793,91.9392,58.6006,0,U,33922,999,92160,.18461808E-3,.692E-5,0
COSMOS 2251 DEB,1993-036ED,2026-08-16T10:39:39.711168,13.50510639,.04027273,73.9099,233.5514,224.2316,132.5946,0,U,33924,999,86069,.25229803E-3,.245E-5,0
COSMOS 2251 DEB,1993-036EH,2026-08-16T14:45:06.634368,14.47871392,.0060215,73.9260,307.5546,190.0590,169.9369,0,U,33928,999,92217,.10998332E-3,.387E-5,0
COSMOS 2251 DEB,1993-036EM,2026-08-16T09:22:29.466912,14.39343228,.00378331,74.0312,220.7539,241.2433,118.4919,0,U,33932,999,91546,.18343203E-3,.548E-5,0
COSMOS 2251 DEB,1993-036EN,2026-08-16T17:04:40.812672,14.33933188,.00724855,74.0905,329.8069,276.0722,83.2174,0,U,33933,999,91324,.12519747E-3,.333E-5,0
COSMOS 2251 DEB,1993-036EP,2026-08-16T18:20:38.151744,14.60744782,.00157991,74.0379,349.1850,42.6391,317.5998,0,U,33934,999,92344,.29104272E-3,.1392E-4,0
COSMOS 2251 DEB,1993-036ER,2026-08-16T21:06:22.424544,14.61672820,.00278944,74.0157,284.5305,10.2520,349.9209,0,U,33936,999,92499,.24639758E-3,.1203E-4,0
COSMOS 2251 DEB,1993-036ET,2026-08-16T17:21:13.436352,14.47552446,.00158249,74.0442,105.7134,131.5280,286.0242,0,U,33938,999,91973,.19282881E-3,.684E-5,0
COSMOS 2251 DEB,1993-036EU,2026-08-16T13:37:42.074976,15.37932622,.00122533,73.9917,284.8539,329.9857,30.0646,0,U,33939,999,92494,.24271107E-2,.91851E-3,0
COSMOS 2251 DEB,1993-036EV,2026-08-16T12:29:25.965888,14.60737268,.00114276,74.0384,32.7383,49.4076,7.6999,0,U,33940,999,92195,.37612272E-3,.1807E-4,0
COSMOS 2251 DEB,1993-036EX,2026-08-16T14:57:56.327040,14.38270733,.00212495,74.0362,180.0241,210.2998,322.8396,0,U,33942,999,91683,.96452098E-4,.268E-5,0
COSMOS 2251 DEB,1993-036EZ,2026-08-16T17:54:03.295872,14.37743810,.01145569,74.0379,214.3017,254.0748,282.0122,0,U,33944,999,91577,.10744554E-3,.32E-5,0
COSMOS 2251 DEB,1993-036FA,2026-08-16T16:35:48.941952,14.34761115,.0023982,74.0276,213.6969,244.9877,114.8785,0,U,33945,999,91557,.47409836E-4,.108E-5,0
COSMOS 2251 DEB,1993-036FD,2026-08-16T09:33:00.104832,14.35855220,.00244615,74.0335,212.4787,233.9377,125.9510,0,U,33948,999,91563,.73426059E-4,.187E-5,0
COSMOS 2251 DEB,1993-036FE,2026-08-16T18:52:45.319296,14.40096182,.00194188,74.0252,156.9909,205.1590,185.2235,0,U,33971,999,91695,.12343202E-3,.364E-5,0
COSMOS 2251 DEB,1993-036FF,2026-08-16T09:31:22.185120,14.38480021,.01216454,73.9926,95.3905,205.5099,330.2068,0,U,33972,999,90618,.58316105E-3,.1913E-4,0
COSMOS 2251 DEB,1993-036FG,2026-08-16T19:37:58.935072,14.45597487,.00451165,74.0098,1.4736,121.2445,30.6508,0,U,33973,999,92170,.55475404E-4,.171E-5,0
COSMOS 2251 DEB,1993-036FJ,2026-08-16T11:37:11.619264,14.00843018,.018996,73.8020,10.5776,100.7135,261.5448,0,U,33975,999,89284,.14681367E-3,.232E-5,0
COSMOS 2251 DEB,1993-036FP,2026-08-16T23:31:56.190144,14.59973945,.00286978,74.0199,307.5871,24.1863,150.1915,0,U,33980,999,92401,.21767649E-3,.102E-4,0
COSMOS 2251 DEB,1993-036FR,2026-08-16T11:35:46.123008,14.61239391,.00754868,74.0668,249.3907,231.2670,254.0069,0,U,33982,999,92762,.1276211E-3,.622E-5,0
COSMOS 2251 DEB,1993-036FS,2026-08-16T14:47:25.255392,14.51480961,.00202207,74.0488,42.9941,82.2530,349.0091,0,U,33983,999,92210,.19016431E-3,.734E-5,0
COSMOS 2251 DEB,1993-036FT,2026-08-16T08:57:55.514016,14.68361672,.00234928,74.0046,229.9787,354.2171,119.7976,0,U,33984,999,92684,.32497554E-3,.1853E-4,0
COSMOS 2251 DEB,1993-036FV,2026-08-16T22:40:19.820640,14.44175805,.00426045,74.0338,203.0684,220.5844,170.1767,0,U,33986,999,91596,.31479075E-3,.1065E-4,0
COSMOS 2251 DEB,1993-036FZ,2026-08-16T08:27:11.221344,13.50284212,.04054784,73.9248,249.9850,224.7272,146.0645,0,U,33990,999,86058,.29160881E-3,.287E-5,0
COSMOS 2251 DEB,1993-036GB,2026-08-16T17:24:43.955136,14.68006912,.0054934,74.0200,220.5358,276.3048,258.8311,0,U,33992,999,92747,.28390866E-3,.1631E-4,0
COSMOS 2251 DEB,1993-036GD,2026-08-16T17:28:21.701280,14.41356280,.00229833,74.0419,93.2882,171.1562,252.7920,0,U,33994,999,91978,.4096027E-4,.107E-5,0
COSMOS 2251 DEB,1993-036GE,2026-08-16T12:50:44.625408,14.35805565,.00603999,74.0603,27.3986,340.7223,19.1644,0,U,33995,999,91060,.28941915E-3,.829E-5,0
