OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1272,2020-019AC,2026-08-16T21:00:04.476384,15.85427808,.00030296,53.0350,37.3738,276.2742,83.7936,0,U,45386,999,35569,.4128563E-3,.101489E-2,0
STARLINK-1274,2020-019AD,2026-08-16T17:53:18.920832,15.76281609,.00022093,53.0154,41.8821,9.8534,350.2528,0,U,45387,999,35561,.7353756E-3,.119042E-2,0
STARLINK-1280,2020-019AE,2026-08-16T22:51:00.558720,16.22539260,.0008822,53.0224,35.9156,299.2364,60.7792,0,U,45388,999,35570,.50686E-3,.1239768E-1,.11887E-4
STARLINK-1283,2020-019AF,2026-08-16T20:25:04.126080,15.81538407,.00005534,53.0323,37.5599,98.3568,261.7516,0,U,45389,999,35569,.39696695E-3,.80861E-3,0
STARLINK-1284,2020-019AG,2026-08-16T16:52:56.669952,15.79001128,.00031637,53.0397,63.2470,202.6870,157.4011,0,U,45390,999,35531,.36416475E-3,.65834E-3,0
STARLINK-1297,2020-019AM,2026-08-16T22:15:01.212768,15.83375454,.00023456,53.0369,59.9065,220.0598,140.0252,0,U,45395,999,35456,.39929941E-3,.8878E-3,0
STARLINK-1307,2020-019AP,2026-08-16T22:39:30.794688,15.61379897,.00018745,53.0496,74.9223,88.2868,271.8359,0,U,45397,999,35500,.36421872E-3,.31213E-3,0
STARLINK-1255,2020-019AR,2026-08-16T15:55:19.433568,15.72359015,.00019509,53.0316,38.8957,2.5947,357.5080,0,U,45399,999,35546,.34357797E-3,.46174E-3,0
STARLINK-1260,2020-019AW,2026-08-16T16:01:10.193376,15.44080360,.00007324,53.1506,98.4503,65.0019,295.1064,0,U,45404,999,35457,.72932384E-3,.33585E-3,0
STARLINK-1263,2020-019AX,2026-08-16T09:16:50.844576,15.40854397,.00031179,53.1532,102.5621,59.2199,300.9113,0,U,45405,999,35449,.62542443E-3,.25742E-3,0
STARLINK-1265,2020-019AY,2026-08-16T21:34:03.758304,15.44739979,.00027221,53.1510,97.1188,119.2711,240.8569,0,U,45406,999,35461,.68062828E-3,.32026E-3,0
STARLINK-1278,2020-019BA,2026-08-16T12:31:02.822880,15.84746632,.00017297,53.0343,60.2468,233.5727,126.5136,0,U,45408,999,35506,.42555758E-3,.101224E-2,0
STARLINK-1296,2020-019BE,2026-08-16T16:09:59.212800,15.44693249,.00013256,53.1510,97.8149,89.9656,270.1503,0,U,45412,999,35458,.78730945E-3,.37075E-3,0
STARLINK-1309,2020-019BG,2026-08-16T16:23:56.618016,15.82043353,.00020676,53.0550,54.4553,214.5707,145.5181,0,U,45414,999,35514,.35867852E-3,.74688E-3,0
STARLINK-1316,2020-019BH,2026-08-16T08:51:37.516608,15.45013350,.00009916,53.1520,99.0300,72.9909,287.1206,0,U,45415,999,35456,.65146709E-3,.30919E-3,0
STARLINK-1286,2020-019BK,2026-08-16T20:07:35.542848,15.72727053,.00039209,53.0416,69.1254,138.5279,221.6037,0,U,45417,999,35524,.45588298E-3,.62583E-3,0
STARLINK-1308,2020-019BM,2026-08-16T00:00:04.000320,15.72387734,.00028223,53.0422,92.2259,231.5026,143.3033,0,U,45419,999,598,-.26684747E-3,-.36646E-3,0
STARLINK-1329,2020-025A,2026-08-16T18:43:53.491872,15.84846378,.00016855,53.0370,7.2096,354.7055,5.3949,0,U,45531,999,35063,.39397549E-3,.94029E-3,0
STARLINK-1338,2020-025B,2026-08-16T21:58:23.450880,15.80246395,.00017537,53.0414,15.2173,269.0850,90.9970,0,U,45532,999,35053,.37493104E-3,.71819E-3,0
STARLINK-1350,2020-025E,2026-08-16T14:31:49.124352,15.41385454,.00003333,53.0720,359.4744,62.9347,297.1691,0,U,45535,999,35077,.22831891E-3,.9287E-4,0
STARLINK-1362,2020-025H,2026-08-15T23:11:44.930400,15.43200464,.00043904,53.1534,74.1291,81.9437,278.2068,0,U,45538,999,34966,.10323737E-2,.46398E-3,0
STARLINK-1368,2020-025K,2026-08-15T20:09:37.797984,15.43487601,.00029886,53.1541,74.9810,82.3083,277.8263,0,U,45540,999,34963,.3758376E-3,.16721E-3,0
STARLINK-1371,2020-025M,2026-08-16T14:29:44.267712,15.75856178,.00012934,53.0414,28.3151,265.4056,94.6815,0,U,45542,999,35032,.37414678E-3,.58694E-3,0
STARLINK-1372,2020-025N,2026-08-16T07:08:16.955808,15.43913753,.00031088,53.1533,72.0998,76.5634,283.5719,0,U,45543,999,34881,.64292776E-3,.29375E-3,0
STARLINK-1373,2020-025P,2026-08-16T17:11:08.785824,15.78098780,.00019761,53.0401,21.8762,278.5836,81.4960,0,U,45544,999,35042,.38689165E-3,.67181E-3,0
STARLINK-1327,2020-025AA,2026-08-16T15:23:57.004800,15.80748815,.00035612,53.0377,358.7644,308.9106,51.1598,0,U,45555,999,35073,.42499125E-3,.83549E-3,0
STARLINK-1356,2020-025AK,2026-08-16T17:04:35.738400,15.71295442,.00010673,53.0416,15.0887,170.2222,189.8816,0,U,45564,999,35051,.332303E-3,.42638E-3,0
STARLINK-1357,2020-025AL,2026-08-16T13:33:20.663136,15.78129426,.00078358,53.0410,329.7502,354.1664,5.9263,0,U,45565,999,35114,.53255865E-3,.93299E-3,0
STARLINK-1361,2020-025AN,2026-08-16T21:23:19.447584,15.76077172,.00020942,53.0390,10.9451,311.6469,48.4371,0,U,45567,999,35059,.40509577E-3,.64273E-3,0
STARLINK-1376,2020-025AR,2026-08-16T15:22:27.237792,15.44545319,.00005463,53.1546,46.6263,80.1035,280.0034,0,U,45570,999,35010,.71740732E-3,.33559E-3,0
STARLINK-1321,2020-025AU,2026-08-16T18:00:55.736640,15.76648251,.00034933,53.0381,355.2704,329.2127,30.8687,0,U,45573,999,35049,.37805661E-3,.6147E-3,0
STARLINK-1331,2020-025AZ,2026-08-16T20:23:19.216608,15.76283632,.00024041,53.0446,1.8577,317.3622,42.7210,0,U,45578,999,35072,.41373507E-3,.66278E-3,0
STARLINK-1333,2020-025BB,2026-08-16T21:25:04.891872,15.41391842,.00026906,53.1566,48.4789,101.7214,258.4093,0,U,45580,999,35010,.84173301E-3,.35461E-3,0
STARLINK-1335,2020-025BC,2026-08-16T15:39:21.857184,15.43075552,.00022345,53.1512,45.4943,30.4268,329.6868,0,U,45581,999,35011,.70890455E-3,.31527E-3,0
STARLINK-1337,2020-025BD,2026-08-16T19:53:14.760384,15.86828955,.00051035,53.0395,346.7720,334.0188,26.0579,0,U,45582,999,35091,.26467496E-3,.69182E-3,0
STARLINK-1347,2020-025BH,2026-08-16T17:06:34.073568,15.76913414,.00045155,53.0373,321.7238,359.5734,0.5280,0,U,45586,999,35125,.38351961E-3,.63136E-3,0
STARLINK-1364,2020-025BL,2026-08-16T14:58:37.507008,15.77600105,.00007808,53.0379,358.5071,310.8675,49.2277,0,U,45589,999,35073,.34606005E-3,.58624E-3,0
STARLINK-1365,2020-025BM,2026-08-16T18:07:41.025216,15.71560328,.00005223,53.0426,35.0710,220.0141,140.0838,0,U,45590,999,35025,.35947683E-3,.4672E-3,0
STARLINK-1443,2020-035D,2026-08-16T21:44:25.633536,15.37748471,.00015122,53.1317,38.5725,180.7628,179.3373,0,U,45660,999,34331,.1126021E-2,.42213E-3,0
STARLINK-1446,2020-035G,2026-08-16T22:55:41.579040,15.51643552,.00030838,53.0206,313.2090,48.4998,311.6275,0,U,45663,999,34448,.3786954E-3,.2249E-3,0
STARLINK-1448,2020-035J,2026-08-16T19:40:53.743008,15.83511029,.0005242,53.0382,343.1684,329.1927,30.8787,0,U,45665,999,34404,.41302387E-3,.92554E-3,0
STARLINK-1451,2020-035M,2026-08-16T18:53:20.069376,15.17137878,.00019558,53.0490,59.0810,97.3176,262.8040,0,U,45668,999,34299,.71874918E-3,.14147E-3,0
